2026-04-16 18:06:43 | src.modules.m2_od_flow.hive_repository | INFO     | read_sample_from_hive:54 | Reading sample from Hive: SELECT tradeid, intervalgroup FROM dbbase2026.gstx_exit_with_min_fee202603 LIMIT 5
2026-04-16 18:06:43 | src.app.hive                   | INFO     | get_hive_connection:38 | Hive 连接配置
2026-04-16 18:06:43 | pyhive.hive                    | INFO     | execute:475 | USE `dbbase2026`
2026-04-16 18:06:44 | pyhive.hive                    | INFO     | execute:475 | SELECT tradeid, intervalgroup FROM dbbase2026.gstx_exit_with_min_fee202603 LIMIT 5
2026-04-16 18:06:45 | src.modules.m2_od_flow.hive_repository | INFO     | read_sample_from_hive:65 | Read 5 records from Hive
2026-04-16 18:07:14 | src.modules.m2_od_flow.interval_fixer | INFO     | load_topology_cache:166 | Loading topology cache for version 202512...
2026-04-16 18:07:14 | src.app.db                     | INFO     | get_engine:40 | 数据库引擎已创建
2026-04-16 18:07:14 | src.modules.m2_od_flow.interval_fixer | INFO     | load_topology_cache:184 | Loaded 2765 topology entries
2026-04-16 18:07:14 | src.modules.m2_od_flow.hive_repository | INFO     | read_sample_from_hive:54 | Reading sample from Hive: SELECT tradeid, intervalgroup FROM dbbase2026.gstx_exit_with_min_fee202603 LIMIT 5
2026-04-16 18:07:14 | src.app.hive                   | INFO     | get_hive_connection:38 | Hive 连接配置
2026-04-16 18:07:14 | pyhive.hive                    | INFO     | execute:475 | USE `dbbase2026`
2026-04-16 18:07:14 | pyhive.hive                    | INFO     | execute:475 | SELECT tradeid, intervalgroup FROM dbbase2026.gstx_exit_with_min_fee202603 LIMIT 5
2026-04-16 18:07:15 | src.modules.m2_od_flow.hive_repository | INFO     | read_sample_from_hive:65 | Read 5 records from Hive
