id,name,stationtype,neighborid,stationhex,linetype,regionalismcode,countryname,regionname,type,status,realtype,direction,isimportant,tolllink_id,cityid,routeid,routename,company_id,longitude,latitude,exit_etc_lane_num,exit_mtc_lane_num,exit_mix_lane_num,exit_lane_num,entry_etc_lane_num,entry_mtc_lane_num,entry_mix_lane_num,entry_lane_num,k_value,nearcityid,opentime,nearprovinceid,old_id,old_tolllink_id
9900014,三星互通,9,0,0,0,610116,长安区,西安市,9,2,1,,1,G0005610030,610100,G0005,京昆高速(陕西段),10,108.761336,34.159355,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900015,石门立交,9,0,0,0,610725,勉县,汉中市,9,2,1,,1,G0085610030,610700,G0085,银昆高速(陕西段),44,106.935602,33.186763,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900016,梁山立交,9,0,0,0,610703,南郑区,汉中市,9,2,1,,1,G0085610020,610700,G0085,银昆高速(陕西段),44,106.922173,33.054003,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900601,小纪汗互通,9,0,0,0,610802,榆阳区,榆林市,9,2,1,,1,G0065610010,610800,G0065,包茂高速(陕西段),14,109.701502,38.367116,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900602,牛家梁立交,9,0,0,0,610802,榆阳区,榆林市,9,2,1,,1,G1812610030,610800,G1812,沧榆高速(陕西段),16,109.735062,38.394864,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900603,史家湾立交,9,0,0,0,610826,绥德县,榆林市,9,2,1,,1,G0020610010,610800,G0020,青银高速(陕西段),25,110.197616,37.565726,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900604,青云互通,9,0,0,0,610802,榆阳区,榆林市,9,2,1,,1,S0032610010,610800,S0032,榆佳高速,32,109.822124,38.312963,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900605,沿河湾立交,9,0,0,0,610603,安塞区,延安市,9,2,1,,1,G2211610020,610600,G2211,长延高速(陕西段),33,109.365066,36.765591,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900606,半截沟互通,9,0,0,0,610203,印台区,铜川市,9,2,1,,1,G065W610020,610200,G065W,延西高速,28,109.020377,35.241934,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900607,半截沟互通2,9,0,0,0,610203,印台区,铜川市,9,2,1,,1,G0065610070,610200,G0065,包茂高速(陕西段),12,109.029549,35.258478,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900608,界桩立交,9,0,0,0,610222,宜君县,铜川市,9,2,1,,1,G065W610040,610200,G065W,延西高速,40,109.170547,35.568943,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900609,杜村立交,9,0,0,0,610222,宜君县,铜川市,9,2,1,,1,G0065610070,610200,G0065,包茂高速(陕西段),12,109.200407,35.561309,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900610,渭玉立交,9,0,0,0,610122,蓝田县,西安市,9,2,1,,1,G065E610030,610100,G065E,榆蓝高速(陕西段),4,109.492643,34.203752,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900611,马家沟立交,9,0,0,0,610603,安塞区,延安市,9,2,1,,1,G2211610010,610600,G2211,长延高速(陕西段),36,109.404623,36.73594,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900612,龙头河立交,9,0,0,0,610628,富县,延安市,9,2,1,,1,G065W610010,610600,G065W,延西高速,40,109.224387,35.909025,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900613,土桥立交,9,0,0,0,610429,旬邑县,咸阳市,9,2,1,,1,G3511610010,610400,G3511,荷宝高速(陕西段),41,108.408623,35.017151,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900614,关庄立交,9,0,0,0,610204,耀州区,铜川市,9,2,1,,1,G3511610010,610200,G3511,荷宝高速(陕西段),41,108.885336,34.968152,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900615,户县东立交,9,0,0,0,610118,鄠邑区,西安市,9,2,1,,1,G030N610010,610100,G030N,西咸北环线,39,108.699579,34.137935,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900616,沣渭立交,9,0,0,0,610118,鄠邑区,西安市,9,2,1,,1,G030N610010,610100,G030N,西咸北环线,39,108.654008,34.251885,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900617,马庄西枢纽,9,0,0,0,610425,礼泉县,咸阳市,9,2,1,,1,G030N610010,610400,G030N,西咸北环线,39,108.611563,34.464692,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900618,马庄北枢纽,9,0,0,0,610425,礼泉县,咸阳市,9,2,1,,1,G030N610010,610400,G030N,西咸北环线,39,108.688278,34.501693,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900619,永乐西立交,9,0,0,0,610423,泾阳县,咸阳市,9,2,1,,1,G030N610010,610400,G030N,西咸北环线,39,108.927829,34.561712,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900620,高陵北立交,9,0,0,0,610117,高陵区,西安市,9,2,1,,1,G030N610010,610100,G030N,西咸北环线,39,109.117803,34.552675,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900621,新丰立交,9,0,0,0,610115,临潼区,西安市,9,2,1,,1,G030N610010,610100,G030N,西咸北环线,39,109.375949,34.486371,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900622,锦界立交,9,0,0,0,610881,神木市,榆林市,9,2,1,,1,S0015610010,610800,S0015,神佳米高速,38,110.141669,38.739603,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9900623,王家砭立交,9,0,0,0,610828,佳县,榆林市,9,2,1,,1,S0015610010,610800,S0015,神佳米高速,38,110.284859,38.233355,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9990003,谢王立交,9,0,0,0,610111,灞桥区,西安市,9,2,1,,1,G3001610010,610100,G3001,绕城高速,7,109.074127,34.356129,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9990004,六村堡互通,9,0,0,0,610112,未央区,西安市,9,2,1,,1,G3001610010,610100,G3001,绕城高速,7,108.848895,34.349312,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9990005,帽耳刘立交,9,0,0,0,610402,秦都区,咸阳市,9,2,1,,1,G3001610010,610400,G3001,绕城高速,7,108.79232,34.305041,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9990006,兰家互通,9,0,0,0,610324,扶风县,宝鸡市,9,2,1,,1,G0030610030,610300,G0030,连霍高速(陕西段),3,107.92952,34.272445,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9990008,西户互通,9,0,0,0,610116,长安区,西安市,9,2,1,,1,G3001610010,610100,G3001,绕城高速,7,108.833202,34.198912,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9990100,马渭互通,9,0,0,0,610404,渭城区,咸阳市,9,2,1,,1,G0070610050,610400,G0070,福银高速(陕西段),24,108.73918,34.420821,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9990103,兵马俑互通,9,0,0,0,610115,临潼区,西安市,9,2,1,,1,G0030610010,610100,G0030,连霍高速(陕西段),2,109.227508,34.409594,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9990104,方家村立交,9,0,0,0,610111,灞桥区,西安市,9,2,1,,1,G3001610010,610100,G3001,绕城高速,7,109.100178,34.319018,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9990105,曲江立交,9,0,0,0,610113,雁塔区,西安市,9,2,1,,1,G3001610010,610100,G3001,绕城高速,7,109.010725,34.202166,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9990107,吕小寨立交,9,0,0,0,610112,未央区,西安市,9,2,1,,1,G3001610010,610100,G3001,绕城高速,7,108.959297,34.370797,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9990113,五里互通,9,0,0,0,610902,汉滨区,安康市,9,2,1,,1,G7011610010,610900,G7011,十天高速(陕西段),18,108.908804,32.715364,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9990114,安康互通,9,0,0,0,610902,汉滨区,安康市,9,2,1,,1,G7011610010,610900,G7011,十天高速(陕西段),18,108.959059,32.698173,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9990115,汉城立交,9,0,0,0,610112,未央区,西安市,9,2,1,,1,G3001610010,610100,G3001,绕城高速,7,108.930264,34.368816,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9990204,东杨立交,9,0,0,0,610526,蒲城县,渭南市,9,2,1,,1,G0005610010,610500,G0005,京昆高速(陕西段),8,109.657294,34.919508,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9990205,卤阳湖立交,9,0,0,0,610526,蒲城县,渭南市,9,2,1,,1,G065E610020,610500,G065E,榆蓝高速(陕西段),4,109.655748,34.850686,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9990208,赤水立交,9,0,0,0,610503,华州区,渭南市,9,2,1,,1,G0030610010,610500,G0030,连霍高速(陕西段),2,109.656418,34.504634,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
9990212,谢家营立交,9,0,0,0,610722,城固县,汉中市,9,2,1,,1,G7011610020,610700,G7011,十天高速(陕西段),5,107.213576,33.071492,0,0,0,0,0,0,0,0,0.09,0,946656000000,0,0,
G0069610010010,咸阳北,3,0,61011221,2|1,610402,秦都区,咸阳市,2,2,1,,1,G0069610010,610400,G0069,银百高速(陕西段),34,108.672897,34.432523,4,4,5,13,3,3,2,8,0.09,610400,1417363200000,0,180101,5001
G0069610010020,桥底,3,0,61011222,2|1,610423,泾阳县,咸阳市,2,2,1,,1,G0069610010,610400,G0069,银百高速(陕西段),34,108.697657,34.59474,2,2,2,6,2,1,1,4,0.09,0,1417363200000,0,180102,5001
G0069610010030,兴隆,3,0,61011223,2|1,610423,泾阳县,咸阳市,2,2,1,,1,G0069610010,610400,G0069,银百高速(陕西段),34,108.694458,34.68553,2,1,1,4,2,1,1,4,0.09,0,1417363200000,0,180103,5001
G0069610010040,淳化南,3,0,61011245,2|1,610430,淳化县,咸阳市,2,2,1,,1,G0069610010,610400,G0069,银百高速(陕西段),34,108.621533,34.77054,3,3,2,8,2,2,1,5,0.09,0,1417363200000,0,180205,5001
G0069610010050,淳化北,3,0,61011241,2|1,610430,淳化县,咸阳市,2,2,1,,1,G0069610010,610400,G0069,银百高速(陕西段),34,108.52247,34.87514,1,1,2,4,1,0,2,3,0.09,0,1417363200000,0,180201,5001
G0069610010060,十里塬,3,0,61011242,2|1,610430,淳化县,咸阳市,2,2,1,,1,G0069610010,610400,G0069,银百高速(陕西段),34,108.486096,34.899662,2,1,1,4,2,1,1,4,0.09,0,1417363200000,0,180202,5001
G0069610010070,土桥,3,0,61011243,2|1,610429,旬邑县,咸阳市,2,2,1,,1,G0069610010,610400,G0069,银百高速(陕西段),34,108.435858,34.980589,2,2,2,6,1,0,2,3,0.09,0,1417363200000,0,180203,5001
G0069610010080,旬邑,3,0,61011244,2|1,610429,旬邑县,咸阳市,2,2,1,,1,G0069610010,610400,G0069,银百高速(陕西段),34,108.27748,35.094998,3,3,2,8,2,2,1,5,0.09,0,1417363200000,0,180204,5001
G0069610010090,旬邑北,3,0,61011246,2|1,610429,旬邑县,咸阳市,2,2,1,,1,G0069610010,610400,G0069,银百高速(陕西段),34,108.33519,35.226624,1,0,2,3,1,0,2,3,0.09,0,1603296000000,0,180206,5001
G0069610020010,安康南,3,0,61012F21,3,610902,汉滨区,安康市,2,2,1,,1,G0069610020,610900,G0069,银百高速(陕西段),52,108.999984,32.651988,1,0,2,3,1,0,2,3,0.09,0,1608825600000,0,470101,7101
G0069610020020,双龙,3,0,61012F22,3,610902,汉滨区,安康市,2,2,1,,1,G0069610020,610900,G0069,银百高速(陕西段),52,108.923207,32.494949,1,0,2,3,1,0,2,3,0.09,0,1608825600000,0,470102,7101
G0069610020030,岚皋,3,0,61012F23,3,610925,岚皋县,安康市,2,2,1,,1,G0069610020,610900,G0069,银百高速(陕西段),52,108.893897,32.333572,2,0,2,4,2,0,2,4,0.09,0,1608825600000,0,470103,7101
G0070610010010,漫川关主线,2,G0070420060060,61014143,2|1,611024,山阳县,商洛市,1,2,1,,0,G0070610010,611000,G0070,福银高速(陕西段),19,110.068235,33.242322,2,13,0,15,0,9,0,9,0.09,0,1254326400000,42,650203,1501
G0070610010020,漫川关匝道,3,0,61014142,2|1,611024,山阳县,商洛市,2,2,1,,1,G0070610010,611000,G0070,福银高速(陕西段),19,110.073031,33.244876,1,1,1,3,1,1,1,3,0.09,0,1254326400000,0,650202,1501
G0070610010030,天竺山,3,0,61014141,2|1,611024,山阳县,商洛市,2,2,1,,1,G0070610010,611000,G0070,福银高速(陕西段),19,110.080136,33.385415,1,1,1,3,1,1,1,3,0.09,0,1254326400000,0,650201,1501
G0070610010040,高坝,3,0,61014123,2|1,611024,山阳县,商洛市,2,2,1,,1,G0070610010,611000,G0070,福银高速(陕西段),19,110.049915,33.490311,1,1,1,3,1,1,1,3,0.09,0,1254326400000,0,650103,1501
G0070610010050,山阳(老),3,0,61014122,2,611024,山阳县,商洛市,2,2,1,,1,G0070610010,611000,G0070,福银高速(陕西段),19,109.878503,33.544643,0,4,0,4,0,3,0,3,0.09,0,1255622400000,0,650102,1501
G0070610010060,阎村,3,0,61014121,2|1,611002,商州区,商洛市,2,2,1,,1,G0070610010,611000,G0070,福银高速(陕西段),19,109.823772,33.718879,1,1,1,3,1,1,1,3,0.09,0,1254326400000,0,650101,1501
G0070610020010,商洛西,3,0,61014743,2|1,611002,商州区,商洛市,2,2,1,,1,G0070610020,611000,G0070,福银高速(陕西段),21,109.876028,33.527489,2,2,3,7,2,1,3,6,0.09,611000,1222790400000,0,710203,2501
G0070610020020,南城子,3,0,61014742,2|1,611002,商州区,商洛市,2,2,1,,1,G0070610020,611000,G0070,福银高速(陕西段),21,109.819284,33.844364,1,1,1,3,1,1,1,3,0.09,0,1222790400000,0,710202,2501
G0070610020030,杨斜,3,0,61014741,2|1,611002,商州区,商洛市,2,2,1,,1,G0070610020,611000,G0070,福银高速(陕西段),21,109.667208,33.856628,1,1,1,3,1,1,1,3,0.09,0,1222790400000,0,710201,2501
G0070610020040,葛牌,3,0,61014723,2|1,610122,蓝田县,西安市,2,2,1,,1,G0070610020,610100,G0070,福银高速(陕西段),21,109.510181,33.932219,1,1,1,3,1,1,1,3,0.09,0,1222790400000,0,710103,2501
G0070610020050,辋川,3,0,61014722,3,610122,蓝田县,西安市,2,2,1,,1,G0070610020,610100,G0070,福银高速(陕西段),21,109.343075,34.072741,1,1,1,3,1,1,1,3,0.09,0,1222790400000,0,710102,2501
