"version","enroadnodeid","enroadnodetype","enroadnodename","enstationid","enhex","exroadnodeid","exroadnodetype","exroadnodename","exstationid","exhex","miles"
"6120231210001","G000561001000810","1","孙镇匝道-东杨互通",,,"G000561001000910","1","东杨互通-蒲城匝道",,,"10580"
"6120231210001","G000561001000810","1","孙镇匝道-东杨互通",,,"G065E61002000120","1","东杨立交-蒲城东匝道",,,"10580"
"6120231210001","G000561001000810","1","孙镇匝道-东杨互通",,,"G065E61002000210","1","东杨立交-卤阳湖匝道",,,"10580"
"6120231210001","G000561001000820","1","东杨互通-孙镇匝道",,,"G000561001000720","1","孙镇匝道-永丰枢纽",,,"10580"
"6120231210001","G000561001000820","1","东杨互通-孙镇匝道",,,"G000561001001920","1","孙镇-孙镇站",,,"10580"
"6120231210001","G000561001000910","1","东杨互通-蒲城匝道",,,"G000561001001010","1","蒲城匝道-荆姚匝道",,,"4704"
"6120231210001","G000561001000910","1","东杨互通-蒲城匝道",,,"G000561001002020","1","蒲城-蒲城站",,,"4704"
"6120231210001","G000561001000920","1","蒲城匝道-东杨互通",,,"G065E61002000210","1","东杨立交-卤阳湖匝道",,,"4704"
"6120231210001","G000561001000920","1","蒲城匝道-东杨互通",,,"G065E61002000120","1","东杨立交-蒲城东匝道",,,"4704"
"6120231210001","G000561001000920","1","蒲城匝道-东杨互通",,,"G000561001000820","1","东杨互通-孙镇匝道",,,"4704"
"6120231210001","G0005610010010","3","陕西禹门口收费站(省界)",,"61012865","G000561001000110","2","禹门口省界-工业园匝道",,,"0"
"6120231210001","G000561001001010","1","蒲城匝道-荆姚匝道",,,"G000561001001110","1","荆姚匝道-富平东匝道",,,"16090"
"6120231210001","G000561001001010","1","蒲城匝道-荆姚匝道",,,"G000561001002120","1","荆姚-荆姚站",,,"16090"
"6120231210001","G000561001001020","1","荆姚匝道-蒲城匝道",,,"G000561001000920","1","蒲城匝道-东杨互通",,,"16090"
"6120231210001","G000561001001020","1","荆姚匝道-蒲城匝道",,,"G000561001002020","1","蒲城-蒲城站",,,"16090"
"6120231210001","G000561001002510","1","富平东匝道-富平匝道",,,"G000561001001210","1","富平匝道-阎禹交界点",,,"10405"
"6120231210001","G000561001002510","1","富平东匝道-富平匝道",,,"G000561001002220","1","富平-富平站",,,"10405"
